coin,symbol,coin_id_geckor,hold,wallet_initial,where
Bitcoin,BTC,bitcoin,0.032323137,1349.655823,binance.com
Ethereum,ETH,ethereum,0.69545,956.1806843,binance.com
Cardano,ADA,cardano,962.8343225,923.9618052,binance.com
Voyager Token,VGX,ethos,116,571.4417488,binance.com
Polkadot,DOT,polkadot,5.38518911,168,binance.com
Theta Token,THETA,theta-token,46.3,167.7310908,binance.com
Compound,COMP,compound-governance-token,0.42511,168,binance.com
Synthetix Network Token,SNX,havven,6.917,125.99,binance.com
Aave,AAVE,aave,0.252,83.94,binance.com
Uniswap,UNI,uniswap,3.4,83.79,binance.com
